tag,seed,noise_type,eta,policy,budget,p,n_train,hidden,batch_size,epochs_ran,epochs_planned,eval_every,lr,weight_decay,grok_threshold,grok_consecutive,loss_warmup_epochs,num_corrupted,num_audited,num_corrected,hit_rate,correction_rate,time_to_grok,time_to_0.80,time_to_0.90,final_test_acc,final_train_acc,gap_area,auc_test,wall_time_sec,stopped_early,status
audit_input_dep_eta0.04_uncertainty_audit_B200_seed0,0,input_dep,0.04,uncertainty_audit,200,97,5000,256,512,150000,200000,2000,0.001,0.02,0.95,5,2000,200,200,94,0.47,0.47,142000,32000,48000,0.9557870124349027,1.0,10.882709788500373,64.13689021149962,3200.9648790359497,True,completed
audit_input_dep_eta0.04_uncertainty_audit_B400_seed0,0,input_dep,0.04,uncertainty_audit,400,97,5000,256,512,148000,200000,2000,0.001,0.02,0.95,5,2000,200,400,125,0.3125,0.625,140000,30000,44000,0.9539802316930598,1.0,10.384675757253694,63.359124242746304,3183.799110889435,True,completed
audit_input_dep_eta0.04_uncertainty_audit_B800_seed0,0,input_dep,0.04,uncertainty_audit,800,97,5000,256,512,94000,200000,2000,0.001,0.02,0.95,5,2000,200,800,146,0.1825,0.73,86000,28000,42000,0.9558932936550112,1.0,8.386450866191943,38.635349133808056,1999.8412871360779,True,completed
audit_input_dep_eta0.04_forgetting_audit_B200_seed0,0,input_dep,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,63,0.315,0.315,,,,0.5945371452864279,0.994,48.02007533212881,51.4031246678712,4196.423358917236,False,completed
audit_input_dep_eta0.04_forgetting_audit_B400_seed0,0,input_dep,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,67,0.1675,0.335,,,,0.6138803273461579,0.9944,45.769884132213825,53.69231586778617,20196.560362815857,False,completed
audit_input_dep_eta0.04_forgetting_audit_B800_seed0,0,input_dep,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,76,0.095,0.38,,,,0.6111170156233393,0.995,45.55365924115209,53.968540758847915,14923.532420158386,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed0,0,input_dep,0.04,loss_audit,200,97,5000,256,512,150000,200000,2000,0.001,0.02,0.95,5,2000,200,200,94,0.47,0.47,142000,32000,48000,0.9557870124349027,1.0,10.882709788500373,64.13689021149962,2987.83966588974,True,completed
audit_input_dep_eta0.04_loss_audit_B400_seed0,0,input_dep,0.04,loss_audit,400,97,5000,256,512,148000,200000,2000,0.001,0.02,0.95,5,2000,200,400,125,0.3125,0.625,140000,30000,44000,0.9539802316930598,1.0,10.384675757253694,63.359124242746304,3056.9278700351715,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed0,0,input_dep,0.04,loss_audit,800,97,5000,256,512,82000,200000,2000,0.001,0.02,0.95,5,2000,200,800,147,0.18375,0.735,74000,28000,42000,0.9562121373153364,1.0,8.117027973217132,32.904772026782865,1764.5895380973816,True,completed
audit_input_dep_eta0.04_random_audit_B200_seed0,0,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,6,0.03,0.03,,,,0.4283133170368796,0.9834,57.57881368902116,40.78318631097885,4468.256597042084,False,completed
audit_input_dep_eta0.04_random_audit_B400_seed0,0,input_dep,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,16,0.04,0.08,,,,0.43107662875969815,0.984,57.48907601232862,40.93272398767138,4228.18995308876,False,completed
audit_input_dep_eta0.04_random_audit_B800_seed0,0,input_dep,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,36,0.045,0.18,,,,0.4531831225422468,0.9852,56.84974694441492,41.691253055585086,4101.672596216202,False,completed
audit_uniform_eta0.04_uncertainty_audit_B200_seed0,0,uniform,0.04,uncertainty_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,87,0.435,0.435,,40000,76000,0.9393134233180996,1.0,15.170981145711552,84.85141885428841,29940.244571208954,False,completed
audit_uniform_eta0.04_uncertainty_audit_B400_seed0,0,uniform,0.04,uncertainty_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,92,0.23,0.46,,40000,62000,0.9410139228398342,1.0,14.492162992879159,85.53023700712085,12652.744145154953,False,completed
audit_uniform_eta0.04_uncertainty_audit_B800_seed0,0,uniform,0.04,uncertainty_audit,800,97,5000,256,512,146000,200000,2000,0.001,0.02,0.95,5,2000,200,800,106,0.1325,0.53,138000,36000,62000,0.9510043575300244,1.0,11.767187883940908,61.254012116059094,28082.312111854553,True,completed
audit_uniform_eta0.04_forgetting_audit_B200_seed0,0,uniform,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,56,0.28,0.28,,,,0.5341694122648528,0.9924,52.667988479115735,46.592411520884276,5008.75399184227,False,completed
audit_uniform_eta0.04_forgetting_audit_B400_seed0,0,uniform,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,60,0.15,0.3,,,,0.52768625783824,0.9924,52.5333301732384,46.72706982676161,12701.936710834503,False,completed
audit_uniform_eta0.04_forgetting_audit_B800_seed0,0,uniform,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,65,0.08125,0.325,,,,0.5536188755446912,0.9924,51.35055159953237,47.90944840046764,9183.494127035141,False,completed
audit_uniform_eta0.04_loss_audit_B200_seed0,0,uniform,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,87,0.435,0.435,,40000,76000,0.9393134233180996,1.0,15.170981145711552,84.85141885428841,23370.960227012634,False,completed
audit_uniform_eta0.04_loss_audit_B400_seed0,0,uniform,0.04,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,93,0.2325,0.465,,36000,58000,0.9451588904240621,1.0,13.984563885641407,86.03783611435861,6769.519222974777,False,completed
audit_uniform_eta0.04_loss_audit_B800_seed0,0,uniform,0.04,loss_audit,800,97,5000,256,512,138000,200000,2000,0.001,0.02,0.95,5,2000,200,800,107,0.13375,0.535,130000,38000,62000,0.9512169199702413,1.0,11.659843851631416,57.36135614836858,2807.325658082962,True,completed
audit_uniform_eta0.04_random_audit_B200_seed0,0,uniform,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,5,0.025,0.025,,,,0.4217238813901584,0.9836,57.605453374428734,40.77574662557126,4088.5876879692078,False,completed
audit_uniform_eta0.04_random_audit_B400_seed0,0,uniform,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,20,0.05,0.1,,,,0.42480603677330214,0.9846,57.54027979594006,40.941120204059956,4169.263307094574,False,completed
audit_uniform_eta0.04_random_audit_B800_seed0,0,uniform,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,38,0.0475,0.19,,,,0.44829418641726004,0.9856,56.77345016473589,41.80794983526411,4757.224725961685,False,completed
audit_input_dep_eta0.04_uncertainty_audit_B200_seed1,1,input_dep,0.04,uncertainty_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,96,0.48,0.48,,32000,70000,0.9042406206823255,1.0,14.509575767881817,85.50802423211819,6071.044056653976,False,completed
audit_input_dep_eta0.04_uncertainty_audit_B400_seed1,1,input_dep,0.04,uncertainty_audit,400,97,5000,256,512,102000,200000,2000,0.001,0.02,0.95,5,2000,200,400,120,0.3,0.6,94000,28000,44000,0.9529174194919757,1.0,8.903466532043787,42.11393346795621,2197.5123279094696,True,completed
audit_input_dep_eta0.04_uncertainty_audit_B800_seed1,1,input_dep,0.04,uncertainty_audit,800,97,5000,256,512,62000,200000,2000,0.001,0.02,0.95,5,2000,200,800,138,0.1725,0.69,54000,26000,38000,0.9622701668615156,1.0,7.248536528855351,23.769263471144647,1423.2458748817444,True,completed
audit_input_dep_eta0.04_forgetting_audit_B200_seed1,1,input_dep,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,57,0.285,0.285,,,,0.5675417153788925,0.993,49.768019810819425,49.549580189180574,6989.993313074112,False,completed
audit_input_dep_eta0.04_forgetting_audit_B400_seed1,1,input_dep,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,62,0.155,0.31,,,,0.5690296524604103,0.9932,49.29009229461153,50.04750770538846,8233.143885850906,False,completed
audit_input_dep_eta0.04_forgetting_audit_B800_seed1,1,input_dep,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,73,0.09125,0.365,,,,0.6256775427781911,0.9942,44.44205124880433,54.99574875119567,4440.206226110458,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed1,1,input_dep,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,96,0.48,0.48,,32000,70000,0.9042406206823255,1.0,14.509575767881817,85.50802423211819,4526.7473158836365,False,completed
audit_input_dep_eta0.04_loss_audit_B400_seed1,1,input_dep,0.04,loss_audit,400,97,5000,256,512,102000,200000,2000,0.001,0.02,0.95,5,2000,200,400,120,0.3,0.6,94000,28000,44000,0.9529174194919757,1.0,8.903466532043787,42.11393346795621,4451.52463388443,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed1,1,input_dep,0.04,loss_audit,800,97,5000,256,512,62000,200000,2000,0.001,0.02,0.95,5,2000,200,800,138,0.1725,0.69,54000,26000,38000,0.9622701668615156,1.0,7.248536528855351,23.769263471144647,1820.3668348789215,True,completed
audit_input_dep_eta0.04_random_audit_B200_seed1,1,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,7,0.035,0.035,,,,0.4381974705069614,0.9834,57.12986447018812,41.22733552981188,14956.006582975388,False,completed
audit_input_dep_eta0.04_random_audit_B400_seed1,1,input_dep,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,16,0.04,0.08,,,,0.44308640663194815,0.9844,56.919854713572114,41.53714528642789,6157.440394878387,False,completed
audit_input_dep_eta0.04_random_audit_B800_seed1,1,input_dep,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,30,0.0375,0.15,,,,0.4606228079498353,0.9856,56.15875827399298,42.41864172600701,6760.86962723732,False,completed
audit_uniform_eta0.04_uncertainty_audit_B200_seed1,1,uniform,0.04,uncertainty_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,89,0.445,0.445,,,,0.6831756828568392,0.9998,38.15815323626315,61.840046763736844,4188.119010925293,False,completed
audit_uniform_eta0.04_uncertainty_audit_B400_seed1,1,uniform,0.04,uncertainty_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,98,0.245,0.49,,36000,56000,0.9158252736741418,1.0,13.362282559251778,86.65511744074821,4318.2187922000885,False,completed
audit_uniform_eta0.04_uncertainty_audit_B800_seed1,1,uniform,0.04,uncertainty_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,117,0.14625,0.585,,32000,56000,0.9437772345626528,1.0,13.03566780741843,86.9819321925816,4092.092626810074,False,completed
audit_uniform_eta0.04_forgetting_audit_B200_seed1,1,uniform,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,48,0.24,0.24,,,,0.52768625783824,0.9914,53.16825902858964,45.990540971410354,4522.015218257904,False,completed
audit_uniform_eta0.04_forgetting_audit_B400_seed1,1,uniform,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,51,0.1275,0.255,,,,0.5288553512594325,0.9916,53.79926976299288,45.379530237007124,20029.56159901619,False,completed
audit_uniform_eta0.04_forgetting_audit_B800_seed1,1,uniform,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,60,0.075,0.3,,,,0.560845998512063,0.9926,51.02903913274524,48.24976086725476,4201.269320011139,False,completed
audit_uniform_eta0.04_loss_audit_B200_seed1,1,uniform,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,90,0.45,0.45,,38000,68000,0.9436709533425444,1.0,14.366164714634923,85.65203528536507,4050.0289351940155,False,completed
audit_uniform_eta0.04_loss_audit_B400_seed1,1,uniform,0.04,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,99,0.2475,0.495,,34000,68000,0.934424487193113,1.0,14.28756686151557,85.72983313848442,31558.389253139496,False,completed
audit_uniform_eta0.04_loss_audit_B800_seed1,1,uniform,0.04,loss_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,117,0.14625,0.585,,32000,56000,0.9437772345626528,1.0,13.03566780741843,86.9819321925816,25121.335106134415,False,completed
audit_uniform_eta0.04_random_audit_B200_seed1,1,uniform,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,8,0.04,0.04,,,,0.43692209586566055,0.9838,56.99084920820491,41.4069507917951,4394.268161058426,False,completed
audit_uniform_eta0.04_random_audit_B400_seed1,1,uniform,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,12,0.03,0.06,,,,0.4304389414390477,0.9836,56.85076399192263,41.526836008077375,4276.127105951309,False,completed
audit_uniform_eta0.04_random_audit_B800_seed1,1,uniform,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,36,0.045,0.18,,,,0.44478690615368266,0.9862,56.46079151875863,42.177808481241364,11768.720484972,False,completed
audit_input_dep_eta0.04_uncertainty_audit_B200_seed2,2,input_dep,0.04,uncertainty_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,81,0.405,0.405,,36000,72000,0.9314486130300775,1.0,14.725052269104049,85.29014773089594,5355.891751050949,False,completed
audit_input_dep_eta0.04_uncertainty_audit_B400_seed2,2,input_dep,0.04,uncertainty_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,108,0.27,0.54,,30000,54000,0.9334679562121373,1.0,12.847407078329258,87.16739292167074,4308.898571014404,False,completed
audit_input_dep_eta0.04_uncertainty_audit_B800_seed2,2,input_dep,0.04,uncertainty_audit,800,97,5000,256,512,116000,200000,2000,0.001,0.02,0.95,5,2000,200,800,140,0.175,0.7,108000,28000,44000,0.9556807312147944,1.0,9.093954384100329,48.92124561589967,11523.84199810028,True,completed
audit_input_dep_eta0.04_forgetting_audit_B200_seed2,2,input_dep,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,58,0.29,0.29,,,,0.6599000956530982,0.996,40.75183996173876,58.86396003826124,31238.871371030807,False,completed
audit_input_dep_eta0.04_forgetting_audit_B400_seed2,2,input_dep,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,64,0.16,0.32,,,,0.6766925284302264,0.9962,39.93188691678181,59.704113083218196,27449.157490968704,False,completed
audit_input_dep_eta0.04_forgetting_audit_B800_seed2,2,input_dep,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,74,0.0925,0.37,,,,0.680518652354129,0.9966,38.73227301519822,60.94292698480178,5486.657771587372,False,completed
audit_input_dep_eta0.04_loss_audit_B200_seed2,2,input_dep,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,82,0.41,0.41,,36000,70000,0.9347433308534382,1.0,15.181104984589222,84.83409501541078,5556.738185882568,False,completed
audit_input_dep_eta0.04_loss_audit_B400_seed2,2,input_dep,0.04,loss_audit,400,97,5000,256,512,134000,200000,2000,0.001,0.02,0.95,5,2000,200,400,108,0.27,0.54,126000,30000,48000,0.9538739504729514,1.0,10.428446508661917,56.58635349133809,3927.847318649292,True,completed
audit_input_dep_eta0.04_loss_audit_B800_seed2,2,input_dep,0.04,loss_audit,800,97,5000,256,512,116000,200000,2000,0.001,0.02,0.95,5,2000,200,800,140,0.175,0.7,108000,28000,44000,0.9556807312147944,1.0,9.093954384100329,48.92124561589967,9897.618807792664,True,completed
audit_input_dep_eta0.04_random_audit_B200_seed2,2,input_dep,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,10,0.05,0.05,,,,0.4515889042406207,0.9868,56.55581507067701,42.14018492932299,31419.76744198799,False,completed
audit_input_dep_eta0.04_random_audit_B400_seed2,2,input_dep,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,17,0.0425,0.085,,,,0.46498033797427996,0.987,56.46013663513657,42.25826336486343,15257.69569516182,False,completed
audit_input_dep_eta0.04_random_audit_B800_seed2,2,input_dep,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,30,0.0375,0.15,,,,0.4617919013710277,0.9872,56.155398256987986,42.58040174301202,6328.312282800674,False,completed
audit_uniform_eta0.04_uncertainty_audit_B200_seed2,2,uniform,0.04,uncertainty_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,73,0.365,0.365,,40000,90000,0.9053034328834095,1.0,16.485125305558505,83.5308746944415,4290.4160759449005,False,completed
audit_uniform_eta0.04_uncertainty_audit_B400_seed2,2,uniform,0.04,uncertainty_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,82,0.205,0.41,,34000,80000,0.9203953661388032,1.0,15.729678393027953,84.28632160697207,12449.32355594635,False,completed
audit_uniform_eta0.04_uncertainty_audit_B800_seed2,2,uniform,0.04,uncertainty_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,96,0.12,0.48,,32000,58000,0.945902858964821,1.0,13.46873287278138,86.54766712721863,4428.982915878296,False,completed
audit_uniform_eta0.04_forgetting_audit_B200_seed2,2,uniform,0.04,forgetting_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,50,0.25,0.25,,,,0.6114358592836646,0.9946,46.72357921139336,52.75162078860665,4241.526978254318,False,completed
audit_uniform_eta0.04_forgetting_audit_B400_seed2,2,uniform,0.04,forgetting_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,56,0.14,0.28,,,,0.6137740461260496,0.9946,46.98938854288448,52.48581145711552,39253.5545232296,False,completed
audit_uniform_eta0.04_forgetting_audit_B800_seed2,2,uniform,0.04,forgetting_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,66,0.0825,0.33,,,,0.6170687639494101,0.9946,45.72896186629823,53.746838133701765,5133.607783794403,False,completed
audit_uniform_eta0.04_loss_audit_B200_seed2,2,uniform,0.04,loss_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,73,0.365,0.365,,40000,90000,0.9053034328834095,1.0,16.485125305558505,83.5308746944415,30941.357012987137,False,completed
audit_uniform_eta0.04_loss_audit_B400_seed2,2,uniform,0.04,loss_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,80,0.2,0.4,,40000,86000,0.9240089276224891,1.0,16.074879795940056,83.94112020405997,4349.0195162296295,False,completed
audit_uniform_eta0.04_loss_audit_B800_seed2,2,uniform,0.04,loss_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,95,0.11875,0.475,,32000,52000,0.9260282708045489,1.0,13.403795047295143,86.61260495270484,4453.932443857193,False,completed
audit_uniform_eta0.04_random_audit_B200_seed2,2,uniform,0.04,random_audit,200,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,200,5,0.025,0.025,,,,0.44510574981400786,0.9866,56.84113010946965,41.83366989053034,4388.710123062134,False,completed
audit_uniform_eta0.04_random_audit_B400_seed2,2,uniform,0.04,random_audit,400,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,400,13,0.0325,0.065,,,,0.4437240939525986,0.9874,56.67460114783719,42.08119885216282,34178.90182495117,False,completed
audit_uniform_eta0.04_random_audit_B800_seed2,2,uniform,0.04,random_audit,800,97,5000,256,512,200000,200000,2000,0.001,0.02,0.95,5,2000,200,800,40,0.05,0.2,,,,0.4596662769688596,0.9874,55.95230141354022,42.80369858645978,6414.857748031616,False,completed
